acc,precision,recall,f1,mse,fraction,thresholds
0.4241816288696447,0.36949486006330395,0.40924203311914126,0.35258023463339644,10.534230501316808,"[0.29067095004698174, 0.1832414861467354, 0.20768468903166823]","(1, 10, 100)"
0.4957208522741702,0.37363680526102355,0.4503352803611788,0.34606101808352674,8.943100878528783,"[0.47391243619371715, 0.20768468903166823, 0.22320136120070092]","(10, 100, 1000)"
0.602636056581253,0.3266797645998988,0.6045051258721457,0.32720717554673384,8.2906854694466,"[0.6151433577976991, 0.219417426416436, 0.15078599182263758]","(50, 500, 5000)"
0.6536556873301673,0.32119239049749104,0.3744356496996035,0.3254829783702515,7.723050219280383,"[0.6815971252253854, 0.22320136120070092, 0.09213500266653123]","(100, 1000, 10000)"
0.0,0.0,0.0,0.0,6.94410064768764,0,baseline
