acc,precision,recall,f1,mse,fraction,thresholds
0.5223861645122787,0.4498454621955991,0.4951173245356073,0.41915831380284335,10.049716871511482,"[0.4105696218604769, 0.20457373593722222]","(5, 50)"
0.5092058816060137,0.4451087293408896,0.5044764703068224,0.39913252791755954,10.645635327579074,"[0.47391243619371715, 0.20768468903166823]","(10, 100)"
0.5248749269878356,0.4475728215434828,0.4871794949039059,0.3932103625766418,10.603926611922217,"[0.5377250679330574, 0.21345582446605887]","(20, 200)"
0.5942809254133123,0.4460630317698698,0.46772409860354985,0.4512014970608181,8.581280591625948,"[0.6151433577976991, 0.219417426416436]","(50, 500)"
0.6584046524620971,0.4251277429319685,0.5066037476526019,0.4322523585849541,7.679080358658863,"[0.6815971252253854, 0.22320136120070092]","(100, 1000)"
0.8354115346522082,0.3641460124883853,0.4541202974652008,0.3602586087131936,6.192774031014816,"[0.8345607842141352, 0.07023770221195114]","(500, 1000)"
0.9097950580287986,0.3792820593143918,0.7288188562209138,0.3969182129624967,6.090905455419131,"[0.9047984864260863, 0.0395281509510628]","(1000, 2000)"
0.9091347741067121,0.36779212956758367,0.8267269701708065,0.38201363094530955,6.092557028353649,"[0.9047984864260863, 0.08054828961068644]","(1000, 5000)"
0.9080427660817229,0.3623270658334146,0.5190541741382844,0.3708968054065212,6.14210389607448,"[0.9047984864260863, 0.09213500266653123]","(1000, 10000)"
0.0,0.0,0.0,0.0,6.94410064768764,0,baseline
