acc,precision,recall,f1,mse,fraction,thresholds
0.790207481524748,0.9992924680002573,0.7904148965938287,0.8826645834812868,9.647150580763864,[0.20944332986261016],[0]
0.7230108946847145,0.9847914200652821,0.7236807422636934,0.8342829360195694,10.277101760383223,[0.29067095004698174],[1]
0.6796099245752597,0.9104810996563574,0.6680534543620776,0.7706515415939499,9.500413196660219,[0.4105696218604769],[5]
0.6461386088325672,0.8289803392444102,0.6235682180658257,0.7117501034340091,9.747223070599496,[0.47391243619371715],[10]
0.61827970642761,0.7097511592972373,0.5065255896336347,0.5911600707194342,9.14596416327879,[0.6151433577976991],[50]
0.6478401097087132,0.5948948239186953,0.4639346276726468,0.5213158893990126,8.651487478179973,[0.6815971252253854],[100]
0.833913198059781,0.08069692801467217,0.5014245014245015,0.13902053712480253,6.198398357438438,[0.8345607842141352],[500]
0.9099728267770526,0.08057248873575404,0.8,0.1464001926318324,6.086637720638936,[0.9047984864260863],[1000]
0.9862610153135078,0.046511627906976744,0.7647058823529411,0.08768971332209106,6.952127320134248,[0.9853467760367728],[5000]
0.9970287223506108,0.0,0.0,0.0,7.346725766478329,[0.9969334890926175],[10000]
0.0,0.0,0.0,0.0,6.94410064768764,0,baseline
