acc,precision,recall,f1,mse,fraction,thresholds
0.8609594433298626,0.10716771050800278,0.6423357664233577,0.18368868346503653,0.4017264524591802,[0.85202021484623],[0]
0.9125885669299337,0.07365439093484419,0.6018518518518519,0.13124684502776376,0.3949980477327141,[0.9103982019960891],[1]
0.9662747289026589,0.04973624717407687,0.49624060150375937,0.09041095890410959,0.356963412071947,[0.9654239784645859],[5]
0.9802930644792646,0.05006418485237484,0.52,0.09133489461358314,0.33782018230428873,[0.9800899001955456],[10]
0.9892830840338268,0.04861111111111111,0.65625,0.09051724137931033,0.3196855458046335,[0.9890799197501079],[20]
0.995098661655281,0.035,1.0,0.0676328502415459,0.3139007929737526,[0.9949653350940905],[50]
0.9970033268151459,0.025,0.75,0.048387096774193554,0.3134419903239578,[0.9969652335119485],[100]
0.9989333875104757,0.0,0.0,0.0,0.3087255098288705,[0.9988698986718135],[300]
0.9995174848261675,0.0,0.0,0.0,0.30981810921475544,[0.9994159026843081],[500]
0.9996444625034919,0.0,0.0,0.0,0.3087338975513651,[0.9996381136196256],[800]
0.999822231251746,0.0,0.0,0.0,0.3086570688330202,[0.9997523935292175],[1000]
0.0,0.0,0.0,0.0,0.3066942582887796,0.0,baseline
