id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1591219215352336387,"'Like a 1930s Dictator': Vitalik Buterin Lays Into Sam Bankman-Fried and #FTX

https://t.co/gh9h8kiCb4",2022-11-11 23:59:59+00:00,"For now, Earth",0,1,#ftx,johnmorganFL,630,28492,240872,111
1591219209123823616,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-11 23:59:57+00:00,Panama,8866,0,#ftx,KuKzNFT,594,1014,4452,8272
1591219200546443264,#FTX crazy Shit! #Crypto https://t.co/2GO4X3u2pt,2022-11-11 23:59:55+00:00,"Seattle, WA",0,0,#ftx,MeAndMySports,315,342,3032,1572
1591219193537769473,"Yo @SBF_FTX, draw me like one of your French girls ❤️❤️❤️ #FTXCRASH #ftx #Binance #CZBinance #cryptomarket #BTC #sol #FTT https://t.co/hdgEbJSvSo",2022-11-11 23:59:53+00:00,"London, England",0,0,#ftx,thedoc7er,1513,296,4541,3626
1591219183660199936,"@BitcoinMagazine you you simpletons cant understand hes saying move your crypto to a wallet, like #Exodus #metamask and #bravewallet . All these people are loosing there money on echanges such as celcious  voyager blockfi #FTX and more , i lost money from voyager and was hoping but hope is all..",2022-11-11 23:59:51+00:00,,0,1,#ftx,jesseypaul4,123,44,317,81
1591219183597268993,"YOU HAVE GOT TO BE F*CKING KIDDING ME

Audits for #FTX were performed by the “first-ever CPA firm in the Metaverse.” https://t.co/EfjKaiTO2i",2022-11-11 23:59:51+00:00,"Los Angeles, Signal 3058591868",2132,0,#ftx,jerryiannelli,13303,15957,42293,82725
1591219182733250560,I could talk about the FTX collapse for hours on end. But there's no time! Here's the whole awful glorious mess crammed into 99 seconds. #FTX #FTXCRASH #MelonHead https://t.co/2lqq4rASu1,2022-11-11 23:59:51+00:00,,15067,0,#ftx,TrumpManRules1,495,223,14076,21195
1591219179914657792,"🚨Did Epstein's Island truly shut down, or did it just move? 

There's a lot of weird shit that is slowly coming out in the fallout of #FTX going bankrupt...

🧵",2022-11-11 23:59:50+00:00,"Sacramento, CA",8647,0,#ftx,monterolaw,4996,1098,21599,27800
1591219170305511424,"A year ago #Bitcoin hit $69,000. One of the main reason for the spectacular rally was all the leverage that funded unprecedented #crypto advertising and speculative buying. The #FTX bankruptcy proves the entire rally was a fraud. It will never be repeated. Bitcoin mania is over.",2022-11-11 23:59:48+00:00,,2460,0,#ftx,RPG4441,416,117,2372,30665
1591219165465280512,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-11 23:59:47+00:00,"DKI Jakarta, Indonesia 🇮🇩",8866,0,#ftx,0xChimmy16,4964,206,63656,43770
1591219159178055682,"The Democratic Party is Crooked beyond belief… 

#FTX #SEC 😮",2022-11-11 23:59:45+00:00,"Hawaii, USA",9,0,#ftx,DaniCoach_Soc,197,92,847,1447
1591219146809036801,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-11 23:59:42+00:00,🌱CHIA | C₳RDANO | HBAR ,8866,0,#ftx,Sean_Assuda,2609,414,5982,5013
1591219145844162561,I could talk about the FTX collapse for hours on end. But there's no time! Here's the whole awful glorious mess crammed into 99 seconds. #FTX #FTXCRASH #MelonHead https://t.co/2lqq4rASu1,2022-11-11 23:59:42+00:00,"Houston, TX",15067,0,#ftx,PineappleTrip,4165,1063,13775,90661
1591219144456040448,"So Mr.Wonderful doesn’t want to waste any time &amp; immediately meeting w/ congress since he’s also a victim now w/ #FTX!?! 🤔  

I hope he pushes for the right regulations then. 🙏🏼

How convenient or what a chess move. #crypto #FTXCRASH  #btc https://t.co/CIYOaomd0d",2022-11-11 23:59:42+00:00,Oasis MetaVerse,0,3,#ftx,BwPanda7,649,1096,5479,2466
1591219142564413440,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-11 23:59:41+00:00,,8866,0,#ftx,guekanhokii,3472,188,39325,30813
1591219135064993794,Oh man this aged well @kevinolearytv 🫠 #ftx #ftt https://t.co/75aCIpoSV9,2022-11-11 23:59:39+00:00,FL,8,0,#ftx,DonEric6449,1516,281,1546,5254
1591219131671805953,bonkers am I right. #FTX https://t.co/mbw7curYEA,2022-11-11 23:59:39+00:00,,0,1,#ftx,0xSanya,1748,441,2539,2286
1591219129704673280,@FTX_Official A couple of friends just pulled out their funds from FTX using a Bahamas KYC on a 15/85% deal.if anyone wants to do the same you can send me a DM #FTT #FTX #cryptocrash #CryptoCommunity,2022-11-11 23:59:38+00:00,Follow at Own Risk,0,0,#ftx,Kipiiru,16,1601,41,10
1591219114563239936,"This is why you sell #Solana and never look back. #SOL  👇

It appears Solana casually stopped tokens from unstaking so they can't be sold. 

This is worst that taking the network down. Also somewhat malicious!

Centralization is really something these days. #FTX https://t.co/jzHn78PBmu",2022-11-11 23:59:34+00:00,,249,0,#ftx,Rajnath20523465,191,19,143,213
1591219114541973505,"Why did #FTX get more media attention than LUNA/TERRA? 

#LUNA was $60bn, FTX was $32bn. Feels like FTX has had 10x media attention…",2022-11-11 23:59:34+00:00,"Austin, PA/NY",0,1,#ftx,andy_josuweit,2046,1660,3824,2481
1591219113753731072,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-11 23:59:34+00:00,"DKI Jakarta, Indonesia",8866,0,#ftx,b1gWi1n_Banggar,4984,224,26904,5621
1591219112977760256,"For those confused about #FTX &amp; #FTT, here's the TLDR:

1️⃣  FTX prints FTT out of thin air
2️⃣  FTX lends FTT to Alameda Research
3️⃣  Alameda Research borrows USD stables against FTT
4️⃣  Alameda Research sends USD stables to FTX
5️⃣  Repeat = infinite money

🚨 No need to sell FTT! https://t.co/RJiEpbcgrf",2022-11-11 23:59:34+00:00,"Halifax, Nova Scotia",899,0,#ftx,kirky_beef,77,33,232,11259
