id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1595930239690895360,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:59:54+00:00,USA,543,0,#ftx,RichRocha8,2072,1301,8156,10101
1595930190365851648,"$100 | 48 Hours 🐰

 - RT &amp; Follow : @Jkasr + @SuperLitho

 - Quote RT with caption:
https://t.co/IrnxH5jPC1

💹  GET https://t.co/Yn8EsfZH4B  💹

#ftx #alameda #FTT #binance #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance #Lunccommunity #binancelunc #Aptos https://t.co/TmHb2PnHlZ",2022-11-24 23:59:42+00:00,,6151,0,#ftx,ddaylucky,1102,87,3145,953
1595930089287430144,"Amazon, Apple, and Netflix are already competing to get movie rights for the #FTX story https://t.co/B05zLPw7U7",2022-11-24 23:59:18+00:00,Happy4ever.x ⧉ Happy2gether.x,6,0,#ftx,rnetamask,4990,758,12071,83560
1595929983330811904,"Hidden Gem @BullRunLife 👀👀
NOT Financial Advise✅
But Just Fyi Our Train Is Leaving...✅

#DeFi #FTX #NFT #BullRun @SteveBullRun @Awino
 #SHIB #Saitama #VOLTINU #ETH @zamundacrypto
 @Yourpop8 @AdamEShelton @Z_Humphries @CryptoSciLife #Bitcoin https://t.co/FiLFD5vgrN",2022-11-24 23:58:53+00:00,Cryptoverse,13,0,#ftx,_01Katarina,3990,4823,187090,3852
1595929972220530688,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:58:50+00:00,"Edmonton, Alberta",543,0,#ftx,ClaudiusGage,799,504,25589,16626
1595929822764863489,"Letss gooo!

💹 GET https://t.co/UubbLHDU4R 💹

#ftx #alameda #FTT #binance    #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance    #Lunccommunity #BinanceLUNC https://t.co/HesRoPAWsp",2022-11-24 23:58:15+00:00,♡,0,0,#ftx,0xw1nli9,756,197,86836,12805
1595929820223135744,"Alternative Headline:

Sam Bankman-Fried’s is a criminal

Alternative content:

#SBF of #FTX is a #Criminal https://t.co/SaZK4ih5uB",2022-11-24 23:58:14+00:00,,0,0,#ftx,STONKING,231,771,29,72
1595929789684219906,BREAKING: Alameda withdrew over $1.5 billion from #FTX from October 20 to November 2.,2022-11-24 23:58:07+00:00,Georgia,126,0,#ftx,KAnneSAnderson,135,83,697,6597
1595929784000856065,"1/4
11 Trading Tips: Staying safe in light of the #crypto meltdowns and bankruptcies (like #FTX #Luna)

1. Do not store long term holdings on centralized exchanges like @binance, @coinbase.
2. Verify proof of reserve at exchanges, this ensures they can survive bank runs https://t.co/qV5h6qVh8M",2022-11-24 23:58:06+00:00,,5,0,#ftx,Modulus09,162,21,420,854
1595929760622063617,"They can’t help themselves.

#NFT #SBF #FTX #NFTs #Crypto #Apes https://t.co/7DH7auvqym",2022-11-24 23:58:00+00:00,Polygon,4,0,#ftx,worldwar0x,380,1956,53,207
1595929722088742914,"You always need to start your day with a win, even if it’s a small one 🙌🏻
👉🏻 https://t.co/TyEADQSTx7

 #Bitcoin #ETH #DeFi #NFTs #Nft #Metaverse #Solana  #Polygon #blockchain #SHIB #Doge #BSCGem #BSC #tezos #Crypto #APE #babydoge #1000xgem #FTX #FTT https://t.co/MFWJy071xx",2022-11-24 23:57:51+00:00,👉🏻,1,0,#ftx,ODCryptoDailyTA,270,88,390,345
1595929677331251200,"Can’t wait till the government figures out a way to bail out #SBF &amp; #FTX. 

He is after all, as mainstream media has reported, trying to save us from the next pandemic.",2022-11-24 23:57:40+00:00,,109,0,#ftx,cason_clayton,67,17,227,563
1595929638945329152,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:57:31+00:00,"Dublin, CA",543,0,#ftx,g_merugumala,324,86,1517,21008
1595929614878412801,"$150 ~ Ends in 48 hrs.
 
🔸 RT - Follow @KaJLabs + @SuperLitho

🔸Quote RT with caption https://t.co/Rn3MxnxMzE
Post Proof

💹 GET https://t.co/Y9xpvHj62S 💹

#ftx #alameda #FTT #binance #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance #Lunccommunity #binancelunc",2022-11-24 23:57:25+00:00,♡,3458,0,#ftx,0xw1nli9,756,197,86836,12805
1595929613712371712,"$100 | 48 Hours 🐰

 - RT &amp; Follow : @Jkasr + @SuperLitho

 - Quote RT with caption:
https://t.co/IrnxH5jPC1

💹  GET https://t.co/Yn8EsfZH4B  💹

#ftx #alameda #FTT #binance #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance #Lunccommunity #binancelunc #Aptos https://t.co/TmHb2PnHlZ",2022-11-24 23:57:25+00:00,dimention host win,6151,0,#ftx,sechsgefahrten,1554,1459,287009,75140
1595929476797546503,Juat a reminder that if you promoted something that locked everyone's funds or went to $0 you are what's wrong with the world. You should have known better. I knew better and I told you loudly. #ftx #luna #celsius #blockfi #GeminiEarn #RichardHeartWasRight,2022-11-24 23:56:52+00:00,With You,640,0,#ftx,SpaceCaseDeFi,596,669,4788,4737
1595929369784221696,"They can’t help themselves.

#NFT #SBF #FTX #NFTs #Crypto #Apes https://t.co/7DH7auvqym",2022-11-24 23:56:27+00:00,,4,11,#ftx,WW0xIntern,70,21,33,84
1595929303065055232,"Elon Musk says he believe SBF is better at bribing media outlets than running #FTX

Do you agree with him?",2022-11-24 23:56:11+00:00,"Boston, MA",103,0,#ftx,Stevieray_g,1732,149,6210,16890
1595929298787266560,"KaJ Labs to Issue Second LOI for @investvoyager's assets. 

🗞️ Details – https://t.co/EQL8XaXDHP @technology  @crypto #voyager #ftx #litho #kajlabs #web3 https://t.co/5PAubtQLmR",2022-11-24 23:56:10+00:00,,861,0,#ftx,0xlittlebig,4733,341,48679,32755
1595929188376412161,"@WSJmarkets This isn’t even a@good article on this SBF. It’s not a hit piece it’s not a fluff job, it’s just… terrible. @WSJ has lost all of its credibility. #TERRIBLE #sbf #ftx #criminals",2022-11-24 23:55:44+00:00,Colorado,0,0,#ftx,AndRchrd,352,343,1552,3459
1595929073540558848,Juat a reminder that if you promoted something that locked everyone's funds or went to $0 you are what's wrong with the world. You should have known better. I knew better and I told you loudly. #ftx #luna #celsius #blockfi #GeminiEarn #RichardHeartWasRight,2022-11-24 23:55:16+00:00,"Nanaimo, British Columbia",640,0,#ftx,Danny56525901,710,83,157,314
1595928968695549952,"JUST IN: ​#FTX owned an $11.5 million stake in a tiny rural bank in Washington state with just 3 employees, bankruptcy hearing shows.",2022-11-24 23:54:51+00:00,"Idaho, USA",298,0,#ftx,muddler007,1868,888,18906,59150
1595928812335898628,"#propaganda every single day the current occupier in the White House spreads hate &amp; propaganda.. I wonder why Facebook doesn't fact check the administration?
#BTC #FTX #Dreamers2022 #DonaldTrump #EtsySeller #FIFAWorldCup #JungkookInQatar #NBA #NFT #Namor #MAGA #FJB #USMNT #vote https://t.co/jjnugdSYxI",2022-11-24 23:54:14+00:00,,0,2,#ftx,DarkBrandonDNC,1646,1196,835,983
1595928746997186561,"The more they attack and smear #ElSalvador's #Bitcoin adoption, the more they're proving @nayibbukele's point ""Stop drinking the elite's cool-aid."" 

Amazing the number of hit pieces written about #ElSalvador compared to SBF #FTX collapse. 🤔

#Bitcoin is the only HOPE ✊🏿🖤❤️ https://t.co/zmq9TjHwQ3",2022-11-24 23:53:58+00:00,,31,0,#ftx,Bitcoin_Xoe,903,2179,8351,5151
1595928735022125056,"Alleged #TornadoCash developer, Alexey Pertsev, is currently still in a Dutch prison for writing open-source ZKP code, with zero monetary gain.

Sam Bankman-Fried of #FTX stole billions of dollars of user deposits and is attending a talk with Zuckerberg, Zelenskyy &amp; leaders.

🤡 https://t.co/41nPAWcZJu",2022-11-24 23:53:56+00:00,0000:0000:0000:0000:0000:00001,9,0,#ftx,kjavocias,354,99,709,848
1595928701178347526,"You always need to start your day with a win, even if it’s a small one 🙌🏻
👉🏻 https://t.co/TyEADQSTx7

 #Bitcoin #ETH #DeFi #NFTs #Nft #Metaverse #Solana  #Polygon #blockchain #SHIB #Doge #BSCGem #BSC #tezos #Crypto #APE #babydoge #1000xgem #FTX #FTT https://t.co/MFWJy071xx",2022-11-24 23:53:47+00:00,👉🏻,1,1,#ftx,CryptoDailyTA,835,3759,11875,9520
1595928698909122561,Satellite imagery of #Ukraine right now! #ZelenskyWarCriminal #AZOVNAZIS #FTX #FTXScam #FTXbankruptcy #UkraineWar #RussianArmy #IStandWithRussia 🇷🇺🇷🇺 https://t.co/rlNcy0sf3D,2022-11-24 23:53:47+00:00,,0,1,#ftx,Caveman2200,144,204,2110,22173
1595928652243427329,"11/24/22 ⏰️

#Hex has run for:
1088 days 👀
0 Bugs 👀
0 Exploits 👀
100% Flawless operation 💎💎💎
Brought to you by '@RichardHeartWin
#RichardHeartWasRight 🎩

#Crypto #Blockchain #Bitcoin #BTC #ETH #cryptocurrency
#Binance #DeFi #FTX
- max $Hex https://t.co/Mqdl4nOAVE",2022-11-24 23:53:36+00:00,"New Jersey, USA",7,0,#ftx,Blades__1,2267,821,2823,11610
1595928573398945793,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:53:17+00:00,"Naperville, IL, USA",543,0,#ftx,BlueHarbinger,71,1269,265,397
1595928532953489408,"Can’t wait till the government figures out a way to bail out #SBF &amp; #FTX. 

He is after all, as mainstream media has reported, trying to save us from the next pandemic.",2022-11-24 23:53:07+00:00,,109,0,#ftx,3rdythealt,141,21,1351,2751
1595928355710328832,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:52:25+00:00,FORT LAUDERDALE,543,0,#ftx,NEETS66,510,18,2622,3996
1595928346353074176,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:52:23+00:00,,543,0,#ftx,Kerrawin69,256,50,2629,3480
1595928341236035584,"$150 ~ Ends in 48 hrs.
 
🔸 RT - Follow @KaJLabs + @SuperLitho

🔸Quote RT with caption https://t.co/Rn3MxnxMzE
Post Proof

💹 GET https://t.co/Y9xpvHj62S 💹

#ftx #alameda #FTT #binance #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance #Lunccommunity #binancelunc",2022-11-24 23:52:22+00:00,bumi dpijak langit djunjung,3458,0,#ftx,roo_1029,4981,2091,260424,36899
1595928303315345409,Binance deploys $1 billion to keep crypto industry afloat after FTX collapse #binance #ftx #ftxrapid #initialcommitments #commitments #initial https://t.co/QHlusYTPay,2022-11-24 23:52:13+00:00,,0,0,#ftx,biztocnews,2,144,63218,0
1595928301083979776,"@andrewrsorkin @SBF_FTX @nytimes @dealbook @SBF_FTX When Jail? Tell me this is not an April Fools Joke? @andrewrsorkin @nytimes @dealbook 

#SamBankmanFried #SBF #FTX #AlamedaResearch @Bitboy_Crypto",2022-11-24 23:52:12+00:00,Sydney Australia,0,0,#ftx,Dave2307,1058,800,11027,1612
1595928227536855040,https://t.co/vZk36ZEYpn The George Soros-funded left-wing watchdog Citizens for Responsibility &amp; Ethics in Washington has named Waters the “most corrupt” member of Congress three times. Now #MaxineWaters is leading the investigation of the #FTX scandal. Fox ovesees the hen house!,2022-11-24 23:51:55+00:00,New York,2,3,#ftx,tatianyc27,2481,2360,5419,6323
1595928168430538752,"JUST IN: ​#FTX owned an $11.5 million stake in a tiny rural bank in Washington state with just 3 employees, bankruptcy hearing shows.",2022-11-24 23:51:40+00:00,,298,0,#ftx,BonnieB2B,4073,1454,58208,34472
1595928129436278784,"NEWS: 
🎥 Streaming Giants Fight to Get #FTX Saga Movie Rights 🎥

@AmazonStudios, @Apple, and @netflix are all vying to get the film and TV rights to a Michael Lewis book on the @FTX_Official collapse.

🎬Apple is reportedly close to sealing the deal 🎬",2022-11-24 23:51:31+00:00,,75,0,#ftx,1892miliyar,2715,241,6102,1933
1595928101892272130,"Join tonight's Twitter Space session, which will discuss #FTX and why DeFi is the future of crypto 

Slight time change, the spaces will now take place at 5PM UTC 

Set your reminder! 👀

https://t.co/x0ycZ3VOKO

$XRD #Radix",2022-11-24 23:51:25+00:00,,33,0,#ftx,cryptobarbar7,1127,347,13127,2371
1595928091305836544,"""If there is ever a place I can be and I am not going to get in trouble, it is going to be at #FTX."" 🤡 - @kevinolearytv aka. Mr. Wonderful https://t.co/VCOrAZmIgt",2022-11-24 23:51:22+00:00,Texas,543,0,#ftx,AnaAnausa,75,184,7123,735
1595928036083662849,Juat a reminder that if you promoted something that locked everyone's funds or went to $0 you are what's wrong with the world. You should have known better. I knew better and I told you loudly. #ftx #luna #celsius #blockfi #GeminiEarn #RichardHeartWasRight,2022-11-24 23:51:09+00:00,METAVERSE,640,0,#ftx,Z3r0Thirty,437,194,1101,5077
1595927971290025984,"""I get that the #FTX debacle shook your confidence, but that's because your confidence was misplaced in the first place, and the destruction of your confidence is the very reason why DeFi and Web3 are going to prosper"" - @jer979  

https://t.co/XEDDhzXimV

$XRD #Radix",2022-11-24 23:50:53+00:00,,45,0,#ftx,cryptobarbar7,1127,347,13127,2371
1595927959676022784,Juat a reminder that if you promoted something that locked everyone's funds or went to $0 you are what's wrong with the world. You should have known better. I knew better and I told you loudly. #ftx #luna #celsius #blockfi #GeminiEarn #RichardHeartWasRight,2022-11-24 23:50:51+00:00,,640,0,#ftx,SheaZyan,66,15,69,402
1595927951605960704,"JUST IN: ​#FTX owned an $11.5 million stake in a tiny rural bank in Washington state with just 3 employees, bankruptcy hearing shows.",2022-11-24 23:50:49+00:00,,298,0,#ftx,NajibHindy,101,7,246,221
