id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1595567834591301633,"$100 | 48 Hours 🐰

 - RT &amp; Follow : @Jkasr + @SuperLitho

 - Quote RT with caption:
https://t.co/IrnxH5jPC1

💹  GET https://t.co/Yn8EsfZH4B  💹

#ftx #alameda #FTT #binance #LITHO #Lithosphere  #Aptos #Lunaclassic #ustc #Luncburn #binance #Lunccommunity #binancelunc #Aptos https://t.co/TmHb2PnHlZ",2022-11-23 23:59:50+00:00,manifesting 🕯️,6162,0,#ftx,jaemnafe,4419,1402,124479,71542
1595567822725582850,Terry Duffy slips and admits he bribes the @CFTC as well. #FTX #btc https://t.co/E8VI5qfZGi,2022-11-23 23:59:47+00:00,,1296,0,#ftx,LarocheMatt,1327,1170,28656,34964
1595567770246209539,"@nytclimate I wonder if the director of @unpopulation is #vegan? Because if we all followed that path, we would free up 3/4 of habitable land for nature. https://t.co/a42wwVdxxj",2022-11-23 23:59:35+00:00,Peru,0,0,#vegan,alanpater,192,240,9160,1905
1595566950398103553,"Looolll hilarious how he tries to backtrack after saying the vegan sausage tastes just like the one he had in the morning  😅 

#Vegan #GoVegan #Vegans https://t.co/o2DmHQbgCg",2022-11-23 23:56:19+00:00,,1082,0,#vegan,cheryl_waterson,112,30,184,1639
1595566877090385921,"Trophy hunters are sociopathic scumbags but don't take my word for it. Here are their words🤬
Help #BanTrophyHunting imports🙏@CBTHunting
https://t.co/Otr53Z8p38

@RickyGervais @PeterEgan6 @Protect_Wldlife @TrophyXpose @domdyer70 @RobRobbEdwards @Animal_Watch @Veganella_ #Vegan https://t.co/rD1G7TXfJy",2022-11-23 23:56:02+00:00,Earth,54,0,#vegan,SunnyEvergreen2,2044,1314,31495,22939
1595566763118297088,I’ve got a #Vegan lawyer looking into me . The facts are I’m a farmer . https://t.co/SIVDAYLekr,2022-11-23 23:55:35+00:00,,51,0,#vegan,JoeHort26496317,77,85,7908,13213
1595566700136742915,"people really still be eating animals products, as if they need bacon to survive. like no you really don't ✌🏻✌🏻
#veganism #vegan",2022-11-23 23:55:20+00:00,London Europe,2,0,#vegan,Sipsipuss,4023,4004,73099,76000
1595566490442514432,@GOP My family doesn't drink milk. Immediate savings being #vegan !,2022-11-23 23:54:30+00:00,Western North Carolina,1,1,#vegan,eBrianSmith,357,85,92,83
1595566433706156033,"Everybody is struggling to make ends meet, but I donated to this organisation whose brave investigators uncover horrendous abuse of innocent animals in factory farms! Support them to,collect evidence to stop #AnimalAbuse! And, please become #vegetarian or #vegan soon. #Climate https://t.co/rVafq6kap8",2022-11-23 23:54:16+00:00,"London as yet UK, Europe",3,1,#vegan,csibike1,10964,10237,415953,200888
1595566389879705600,"Jane - Legality doesn't dictate morality. In some countries, it is illegal to be LGBT like in #Qatar 

Since when does legality ever dictate morality? NEVER. 

Choices don't have victims. #govegan #vegan #veganism https://t.co/OBrsRrO4Ho",2022-11-23 23:54:06+00:00,"Chicago, IL",1,0,#vegan,VeganPolitico,177,381,6882,1538
1595566339888140288,"Today is my 35 year veganniversary. I went vegan in November 1987, and working on behalf of animal rights is absolutely the most important thing in my life. #vegan #veganforlife #animalrights",2022-11-23 23:53:54+00:00,"Port Hueneme, CA",448,0,#vegan,BuyMyScript,713,550,31131,23704
1595566251081961472,"With winter crouching around, I'm gradually moving towards high carb content diet. 
This #Vegan  #MushroomBourguignon and #SparklingWater surprised my taste buds actually. The hint of sweet and sour made it more appetising. 

@JohnLukeNYC 
@charitynzegwu 
@ZeeTheCoach https://t.co/XAvcpEjF3w",2022-11-23 23:53:33+00:00,Zimbabwe,4,0,#vegan,Flamisharon,9826,16305,22103,81890
1595566227430203395,More Thanksgiving recipes! Decadently Vegan! On my Instagram blog. Link in bio. #vegan #veganthanksgiving https://t.co/qvA5BRClCe,2022-11-23 23:53:27+00:00,The Ether,5,0,#vegan,cerebralsymphoy,4684,4916,121966,117052
1595565965311414272,"#Ballet pineapple #birthday #cake, all #vegan and all done!

#baker #baking #BalletDancer #birthdaycake #cakeart #cakedecor #cakedecorating #foodie #handmade #sugarcraft #sweets #sweettooth #yummy https://t.co/PJokLKm2lh",2022-11-23 23:52:24+00:00,USA,0,0,#vegan,HectorCantres,481,505,6665,75517
1595565868288970752,"From Monthly Meal Plan 2  - roasted onion hummus - now a classic hummus flavour, but much nicer home made!   https://t.co/52Zz7GrfyS  #Vegan #BudgetMeals #CheapFood #MealPlan #CheapFamilyRecipes",2022-11-23 23:52:01+00:00,"Heathfield, East Sussex",0,0,#vegan,Thriftylesley,707,2641,74687,1849
1595565647748124679,"Today is my 35 year veganniversary. I went vegan in November 1987, and working on behalf of animal rights is absolutely the most important thing in my life. #vegan #veganforlife #animalrights",2022-11-23 23:51:09+00:00,,448,0,#vegan,danayvonne,969,363,1620,129303
1595565619432267776,"46,000,000.

🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃🦃

'This is the number of turkeys that Americans will slaughter to eat and give thanks this Thanksgiving. 46 million.💔

It begs the question - is this how we want to give thanks?'

📷: @WeAnimals

#vegan #thanksgiving #turkey #turkeys https://t.co/fzca2RgHYp",2022-11-23 23:51:02+00:00,,258,0,#vegan,persianVegans,115,78,7036,9744
1595565449432940546,"It's not only POTUS who can pardon a turkey, YOU can too. Go #vegan this #Thanksgiving2022 🦃 🌱",2022-11-23 23:50:21+00:00,"Arlington, VA",96,0,#vegan,lauramfell,313,172,3439,2184
1595565402880446492,Eucalyptus Mint Lotion https://t.co/8PqWDpZ9X2 #womanowned #handmadesoap #smallbusiness #bathandbeauty #vegan #DeShawnMarie #handmade #selfcare #Soap #handmadebath https://t.co/N4FaLsBGDH,2022-11-23 23:50:10+00:00,"Floral City, FL",0,0,#vegan,deshawnmarie,6288,5368,96675,4916
1595565192980602881,"In #Diabetes, Going #Vegan May Boost Mood, Too
https://t.co/OnyAGLa9Gf
LIKE ▪️ SHARE ▪️ COMMENT",2022-11-23 23:49:20+00:00,Get MOTIVATED/Stay CONSISTENT,0,0,#vegan,personalfitnes3,4567,7086,1012332,60458
1595565087246667776,"Today is my 35 year veganniversary. I went vegan in November 1987, and working on behalf of animal rights is absolutely the most important thing in my life. #vegan #veganforlife #animalrights",2022-11-23 23:48:55+00:00,,448,0,#vegan,TheRageRyu,113,63,3531,15678
1595564981344686081,"Call me yo boo,I call u my baby my stink #ddg #vegan🥦",2022-11-23 23:48:30+00:00,,1,4,#vegan,Teazy_313,149,145,647,1760
1595564903577919490,"Today is my 35 year veganniversary. I went vegan in November 1987, and working on behalf of animal rights is absolutely the most important thing in my life. #vegan #veganforlife #animalrights",2022-11-23 23:48:11+00:00,England,448,0,#vegan,Rachchildfree,542,63,3640,19854
1595564833688195077,"450 doctors call for cows' #milk to be banned from schools as #dairy is linked to #cancer and #asthma.
#PlantBased 🌱alternatives are healthier. 
#vegan #nhs https://t.co/d6QWc3fl7K",2022-11-23 23:47:55+00:00,,171,0,#vegan,MariaOSheaFlyn1,1870,144,3169,1537
1595564688607416320,"Looolll hilarious how he tries to backtrack after saying the vegan sausage tastes just like the one he had in the morning  😅 

#Vegan #GoVegan #Vegans https://t.co/o2DmHQbgCg",2022-11-23 23:47:20+00:00,"Marin County, CA",1082,0,#vegan,BanjoAtheist,391,882,17624,11473
1595564682294738946,@thelittleidiot #moby #ThankYou #vegan since 35 years https://t.co/rsrYvgUShg,2022-11-23 23:47:19+00:00,,0,4,#vegan,VerdeVetriolo,1855,982,16917,41504
1595564653249286145,"For my American friends.
Enjoy your holiday.
#GoVegan #Vegan https://t.co/JtXA3nWrEz",2022-11-23 23:47:12+00:00,"Dartmouth, Nova Scotia",126,0,#vegan,Quilts4Babies,109,37,465,2938
1595564548253253632,"Today is my 35 year veganniversary. I went vegan in November 1987, and working on behalf of animal rights is absolutely the most important thing in my life. #vegan #veganforlife #animalrights",2022-11-23 23:46:47+00:00,Paris,448,0,#vegan,Lettie711G,221,54,3561,12475
1595564534940717056,"46 MILLION: The # of turkeys killed at Thanksgiving 🦃 

Welcome to dystopia masquerading as family fun 🎭

Please, go #vegan 🌱",2022-11-23 23:46:43+00:00,Australia,200,0,#vegan,Gail7175,4958,4477,72155,46192
1595564524848963585,I’ve got a #Vegan lawyer looking into me . The facts are I’m a farmer . https://t.co/SIVDAYLekr,2022-11-23 23:46:41+00:00,In the great state of Nebraska,51,0,#vegan,CrazyCrnBllBrd,4682,3343,273890,250487
1595564447275393025,How true is this! #goevgan #vegan #loveallanimals https://t.co/F7CW8YDolP,2022-11-23 23:46:23+00:00,,88,0,#vegan,jhquezconcepci1,42,55,1842,14362
1595564333450383361,"Do you see them? 🐥

They are on the chicken production line. The boys will go down a conveyer to be ground up alive &amp; the girls will either be fattened &amp; killed in 6 weeks or exploited to relentlessly lay eggs until deemed unfit. 

#Sentient #endspeciesism #Thanksgiving #vegan https://t.co/M1EWwPuKZr",2022-11-23 23:45:55+00:00,,146,0,#vegan,kmcatch22,4984,1002,162033,201158
1595564206560100353,"Having a nap with my aunties.

#pigs #sanctuary #animalrights #animalwelfare #vegan https://t.co/8weWxAfD9P",2022-11-23 23:45:25+00:00,,5,0,#vegan,EricaMu21580364,91,4,15,0
1595564150884802560,Wanna Save the World? Eat plant based. #GoVegan #GlobalHeating #ClimateCrisis #Vegan #Veganuary #Covid #ClimateChange #OceanProtectionLeague #GenZEmergency #OceanProtectionLeagueGallery #Kindness #Pandemic #veganfood #plantbased #veganism #veganlifestyle  #sustainability https://t.co/Y4GyVtO4pI,2022-11-23 23:45:12+00:00,,3,0,#vegan,Veronic39698334,140,18,15,0
1595564145940004865,Vegan chilli &amp; rice for dinner 💚 #veganfood #vegan https://t.co/RiToVFsFQA,2022-11-23 23:45:11+00:00,"Harvey, LA",8,0,#vegan,swamplady100,702,1092,44449,27472
1595563821053116417,"Looolll hilarious how he tries to backtrack after saying the vegan sausage tastes just like the one he had in the morning  😅 

#Vegan #GoVegan #Vegans https://t.co/o2DmHQbgCg",2022-11-23 23:43:53+00:00,Hermana República de Naucalpan,1082,0,#vegan,iniestramx,1067,1752,3870,1182
1595563698306834432,"Happy Vegan Thanksgiving Eve 

Ⓥ💚🌱 Ⓥ💚🌱 Ⓥ💚🌱 Ⓥ

#vegan
#badassveganschangingtheworld
 #veganfortheanimals 
#vegangirl 
#govegan 
#plantbased 
#veganism 
#potatoes https://t.co/1aa1rWcJ9G",2022-11-23 23:43:24+00:00,Spain,6,0,#vegan,nfteam3,3997,2256,79575,66757
1595563560020721665,"For my American friends.
Enjoy your holiday.
#GoVegan #Vegan https://t.co/JtXA3nWrEz",2022-11-23 23:42:51+00:00,Toronto,126,0,#vegan,unarose7,3087,3146,76932,174473
1595563557848256512,#vegan #raw #vegetarian in #Turin at #SoulKitchen http://t.co/IN5NCg8QAQ #healthy #food #foodporn #seaonal #local http://t.co/rJtyBKET2u,2022-11-23 23:42:50+00:00,San Francisco,6,0,#vegan,Annette1198,3,611,775,1
1595563505540702208,I’ve got a #Vegan lawyer looking into me . The facts are I’m a farmer . https://t.co/SIVDAYLekr,2022-11-23 23:42:38+00:00,On a vulcano,51,0,#vegan,bldg_7,403,281,14584,119531
1595563467809120256,How to Make Classic #Holiday Dishes #Vegan http://t.co/omFxTrbM4V #Food http://t.co/R0zLImb6fc,2022-11-23 23:42:29+00:00,San Francisco,9,0,#vegan,Annette1198,3,611,775,1
