id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1596292594451070976,"#Binance has allocated an additional $1 billion to its industry recovery fund, bringing the total size of the fund to over $2 billion.

#BTC #crypto #trading #investing #theartofchart #CryptoCurrency #bearmarket #CZ #FTX https://t.co/gGvhGTmpvw",2022-11-25 23:59:46+00:00,,0,1,#ftx,the_artofchart,185,2311,3201,528
1596292551035584512,REPORT: Mexican unicorn #Bitso sets out transparency roadmap amid #FTX crash,2022-11-25 23:59:36+00:00,$COOKIES TO THE MOON 🤩🤩,1848,0,#ftx,enjenieeei,3152,450,85691,11578
1596292423134707714,"#Cro #FTT #CryptoCom #GOX https://t.co/tdIokXHdYC #FTX #holbit #CryptoNews #investment #Coin #Coinbase #investing 
HAVING ISSUES IN PLATFORM YOU INVESTED IN AND YOU HAVE NOT BEEN ABLE TO WITHDRAW YOUR MONEY? QUICKLY MESSAGE ME NOW LET ME HELP YOU OUT BEFORE IT COMES TOO LATE",2022-11-25 23:59:06+00:00,,0,0,#ftx,Dianac647422,15,3,28,0
1596292404671569921,REPORT: Mexican unicorn #Bitso sets out transparency roadmap amid #FTX crash,2022-11-25 23:59:01+00:00,"Jakarta Selatan, DKI Jakarta",1848,0,#ftx,gavinadingJr,3207,50,10234,1891
1596292316272418816,"Get out of #WBTC NOW!!! 

Turns out half of all #WBTC was minted by none other than… wait for it:

🔸 Alameda Research

 🚨  They minted over 100k WBTC  🚨

This explains why the depeg of #WBTC vs #BTC began when #FTX imploded! 

Major red flag below (pictured)! https://t.co/K0GqFc1cY0",2022-11-25 23:58:40+00:00,,616,0,#ftx,KoreaynYongnam,3653,224,12718,1180
1596292294160035842,"Get out of #WBTC NOW!!! 

Turns out half of all #WBTC was minted by none other than… wait for it:

🔸 Alameda Research

 🚨  They minted over 100k WBTC  🚨

This explains why the depeg of #WBTC vs #BTC began when #FTX imploded! 

Major red flag below (pictured)! https://t.co/K0GqFc1cY0",2022-11-25 23:58:35+00:00,,616,0,#ftx,lilee34339394,203,234,1565,65115
1596292279513538560,REPORT: Mexican unicorn #Bitso sets out transparency roadmap amid #FTX crash,2022-11-25 23:58:31+00:00,,1848,0,#ftx,oxmomdollar69,507,56,1006,556
1596292214040268806,"1/ #FTX did not go down alone. It also is bringing down a number of centralized institutions. It’s time to review why and how #DeFi started, and its evolution over the last few years.

#Uniswap #Curve #dydx #perp #GMX",2022-11-25 23:58:16+00:00,North Rhine-Westphalia,29,0,#ftx,Fira43080962,190,7,428,260
1596292093844283395,"Get out of #WBTC NOW!!! 

Turns out half of all #WBTC was minted by none other than… wait for it:

🔸 Alameda Research

 🚨  They minted over 100k WBTC  🚨

This explains why the depeg of #WBTC vs #BTC began when #FTX imploded! 

Major red flag below (pictured)! https://t.co/K0GqFc1cY0",2022-11-25 23:57:47+00:00,web3 land,616,0,#ftx,HomanChan4,820,1615,16315,59104
1596292063452008448,REPORT: Mexican unicorn #Bitso sets out transparency roadmap amid #FTX crash,2022-11-25 23:57:40+00:00,Indonesia,1848,0,#ftx,Laren120521,3362,241,22518,9676
1596292059681505280,"Get out of #WBTC NOW!!! 

Turns out half of all #WBTC was minted by none other than… wait for it:

🔸 Alameda Research

 🚨  They minted over 100k WBTC  🚨

This explains why the depeg of #WBTC vs #BTC began when #FTX imploded! 

Major red flag below (pictured)! https://t.co/K0GqFc1cY0",2022-11-25 23:57:39+00:00,,616,0,#ftx,BartlomiejMomot,82,124,424,1238
1596292048319139841,"🚨 BREAKING: Verified insider confirmed that #FTX manipulated the auction of Voyager assets to secure a winning bid. This was done to delay the withdrawal of Voyager loans from FTX and Alameda, which would have exposed SBF fraud much sooner.",2022-11-25 23:57:36+00:00,"Rotterdam, Nederland",392,0,#ftx,JediRdam,706,48,1702,6437
