id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1594480703663575040,"I don’t agree with his overall take on #crypto, but these right there are facts. 

#bnb #binance #btc #eth #ftx https://t.co/MnrkLxv4OI",2022-11-20 23:59:58+00:00,valhalla,0,0,#ftx,StevieGhandiz,267,149,11176,7596
1594480702631862272,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:58+00:00,,2410,0,#ftx,GaryWes27521165,1647,549,4064,12813
1594480689960796160,"So Here is our amazing #giveaway of 220$

Steps to join:
1. Follow @Decentra_co 
2. ❤️ this tweet
3. Tag 4 friends

One Lucky Winner will get 220$

Result : 72 Hr

#FTX #Ftxcrash #FTXUS #NFT #APE #ETH #BTC #Airdrop #BNB  #FTXINU #Twitter",2022-11-20 23:59:55+00:00,Indonesia,1100,0,#ftx,Resti0104,4459,293,20666,10321
1594480673145896960,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:51+00:00,,2410,0,#ftx,xepllc,1405,970,101941,138008
1594480661393338368,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:48+00:00,"Denver, CO",2410,0,#ftx,TashaCSS,256,167,131799,30332
1594480651771617280,"@cryptoskullx Crypto is going to be great and better with https://t.co/1h89aH7Tkv feel free to join and we make the future better 🔥🔥
#FTX #FTXbankruptcy #SamBankmanFried #SBF_FTX #FTT #FTTC #FTTClassic $FTT $FTTC @FTXClassicOnly #LUNC #Alameda #Cryptocom #FTXScam #FTXScandal #CryptoNews https://t.co/IkkYjiggYL",2022-11-20 23:59:46+00:00,,1,3,#ftx,Trender53748656,61,55,5125,1819
1594480634436673538,"Getting funds out of #FTX could take years or even decades: Lawyers

https://t.co/TKEYIVLQKv",2022-11-20 23:59:41+00:00,"For now, Earth",1,0,#ftx,johnmorganFL,537,28439,243676,111
1594480629395369986,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:40+00:00,,2410,0,#ftx,dreamflh,3551,2216,56266,72436
1594480624903262209,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:39+00:00,,2410,0,#ftx,57epiphany,160,45,8424,9509
1594480601352003584,Door 3 and #FTX money laundering are just the tip of the iceberg. All patriots need to dig deeper. The information is out there.,2022-11-20 23:59:34+00:00,,2410,0,#ftx,DancingMoonZ,516,68,2556,65394
1594480601024692225,"tHe MoSt GenErOuS bIlLiOnAiRe iN tHe WoRlD 🤡

$FTT #FTT #FTX #SamBankmanFried #SBF #Crypto https://t.co/ep8ZIQL5B4",2022-11-20 23:59:33+00:00,,13,0,#ftx,go_away_anna1,3990,150,17515,13287
